code,country,location,source
204,CAN,Manitoba,https://www.allareacodes.com/canadian_area_codes.htm
226,CAN,"London, ON",
236,CAN,"Vancouver, BC",
249,CAN,"Sudbury, ON",
250,CAN,"Kelowna, BC",
263,CAN,"Montreal, QC",
289,CAN,"Hamilton, ON",
306,CAN,Saskatchewan,
343,CAN,"Ottawa, ON",
354,CAN,"Granby, QC",
365,CAN,"Hamilton, ON",
367,CAN,"Quebec, QC",
368,CAN,"Calgary, AB",
382,CAN,"London, ON",
403,CAN,"Calgary, AB",
416,CAN,"Toronto, ON",
418,CAN,"Quebec, QC",
428,CAN,New Brunswick,
431,CAN,Manitoba,
437,CAN,"Toronto, ON",
438,CAN,"Montreal, QC",
450,CAN,"Granby, QC",
468,CAN,"Sherbrooke, QC",
474,CAN,Saskatchewan,
506,CAN,New Brunswick,
514,CAN,"Montreal, QC",
519,CAN,"London, ON",
548,CAN,"London, ON",
579,CAN,"Granby, QC",
581,CAN,"Quebec, QC",
584,CAN,Manitoba,
587,CAN,"Calgary, AB",
604,CAN,"Vancouver, BC",
613,CAN,"Ottawa, ON",
639,CAN,Saskatchewan,
647,CAN,"Toronto, ON",
672,CAN,"Vancouver, BC",
683,CAN,"Sudbury, ON",
705,CAN,"Sudbury, ON",
709,CAN,Newfoundland/Labrador,
742,CAN,"Hamilton, ON",
753,CAN,"Ottawa, ON",
778,CAN,"Vancouver, BC",
780,CAN,"Edmonton, AB",
782,CAN,Nova Scotia/PE Island,
807,CAN,"Kenora, ON",
819,CAN,"Sherbrooke, QC",
825,CAN,"Calgary, AB",
867,CAN,Northern Canada,
873,CAN,"Sherbrooke, QC",
879,CAN,Newfoundland/Labrador,
902,CAN,Nova Scotia/PE Island,
905,CAN,"Hamilton, ON",
205,USA,Alabama,
251,USA,Alabama,
256,USA,Alabama,
334,USA,Alabama,
659,USA,Alabama,
938,USA,Alabama,
907,USA,Alaska,
480,USA,Arizona,
520,USA,Arizona,
602,USA,Arizona,
623,USA,Arizona,
928,USA,Arizona,
327,USA,Arkansas,
479,USA,Arkansas,
501,USA,Arkansas,
870,USA,Arkansas,
209,USA,California,
213,USA,California,
279,USA,California,
310,USA,California,
323,USA,California,
341,USA,California,
350,USA,California,
369,USA,California,
408,USA,California,
415,USA,California,
424,USA,California,
442,USA,California,
510,USA,California,
530,USA,California,
559,USA,California,
562,USA,California,
619,USA,California,
626,USA,California,
628,USA,California,
650,USA,California,
657,USA,California,
661,USA,California,
669,USA,California,
707,USA,California,
714,USA,California,
747,USA,California,
760,USA,California,
805,USA,California,
818,USA,California,
820,USA,California,
831,USA,California,
840,USA,California,
858,USA,California,
909,USA,California,
916,USA,California,
925,USA,California,
949,USA,California,
951,USA,California,
303,USA,Colorado,
719,USA,Colorado,
720,USA,Colorado,
970,USA,Colorado,
983,USA,Colorado,
203,USA,Connecticut,
475,USA,Connecticut,
860,USA,Connecticut,
959,USA,Connecticut,
302,USA,Delaware,
239,USA,Florida,
305,USA,Florida,
321,USA,Florida,
324,USA,Florida,
352,USA,Florida,
386,USA,Florida,
407,USA,Florida,
448,USA,Florida,
561,USA,Florida,
645,USA,Florida,
656,USA,Florida,
689,USA,Florida,
727,USA,Florida,
728,USA,Florida,
754,USA,Florida,
772,USA,Florida,
786,USA,Florida,
813,USA,Florida,
850,USA,Florida,
863,USA,Florida,
904,USA,Florida,
941,USA,Florida,
954,USA,Florida,
229,USA,Georgia,
404,USA,Georgia,
470,USA,Georgia,
478,USA,Georgia,
678,USA,Georgia,
706,USA,Georgia,
762,USA,Georgia,
770,USA,Georgia,
912,USA,Georgia,
943,USA,Georgia,
808,USA,Hawaii,
208,USA,Idaho,
986,USA,Idaho,
217,USA,Illinois,
224,USA,Illinois,
309,USA,Illinois,
312,USA,Illinois,
331,USA,Illinois,
447,USA,Illinois,
464,USA,Illinois,
618,USA,Illinois,
630,USA,Illinois,
708,USA,Illinois,
730,USA,Illinois,
773,USA,Illinois,
779,USA,Illinois,
815,USA,Illinois,
847,USA,Illinois,
861,USA,Illinois,
872,USA,Illinois,
219,USA,Indiana,
260,USA,Indiana,
317,USA,Indiana,
463,USA,Indiana,
574,USA,Indiana,
765,USA,Indiana,
812,USA,Indiana,
930,USA,Indiana,
319,USA,Iowa,
515,USA,Iowa,
563,USA,Iowa,
641,USA,Iowa,
712,USA,Iowa,
316,USA,Kansas,
620,USA,Kansas,
785,USA,Kansas,
913,USA,Kansas,
270,USA,Kentucky,
364,USA,Kentucky,
502,USA,Kentucky,
606,USA,Kentucky,
859,USA,Kentucky,
225,USA,Louisiana,
318,USA,Louisiana,
337,USA,Louisiana,
504,USA,Louisiana,
985,USA,Louisiana,
207,USA,Maine,
227,USA,Maryland,
240,USA,Maryland,
301,USA,Maryland,
410,USA,Maryland,
443,USA,Maryland,
667,USA,Maryland,
339,USA,Massachusetts,
351,USA,Massachusetts,
413,USA,Massachusetts,
508,USA,Massachusetts,
617,USA,Massachusetts,
774,USA,Massachusetts,
781,USA,Massachusetts,
857,USA,Massachusetts,
978,USA,Massachusetts,
231,USA,Michigan,
248,USA,Michigan,
269,USA,Michigan,
313,USA,Michigan,
517,USA,Michigan,
586,USA,Michigan,
616,USA,Michigan,
734,USA,Michigan,
810,USA,Michigan,
906,USA,Michigan,
947,USA,Michigan,
989,USA,Michigan,
218,USA,Minnesota,
320,USA,Minnesota,
507,USA,Minnesota,
612,USA,Minnesota,
651,USA,Minnesota,
763,USA,Minnesota,
952,USA,Minnesota,
228,USA,Mississippi,
601,USA,Mississippi,
662,USA,Mississippi,
769,USA,Mississippi,
235,USA,Missouri,
314,USA,Missouri,
417,USA,Missouri,
557,USA,Missouri,
573,USA,Missouri,
636,USA,Missouri,
660,USA,Missouri,
816,USA,Missouri,
975,USA,Missouri,
406,USA,Montana,
308,USA,Nebraska,
402,USA,Nebraska,
531,USA,Nebraska,
702,USA,Nevada,
725,USA,Nevada,
775,USA,Nevada,
603,USA,New Hampshire,
201,USA,New Jersey,
551,USA,New Jersey,
609,USA,New Jersey,
640,USA,New Jersey,
732,USA,New Jersey,
848,USA,New Jersey,
856,USA,New Jersey,
862,USA,New Jersey,
908,USA,New Jersey,
973,USA,New Jersey,
505,USA,New Mexico,
575,USA,New Mexico,
212,USA,New York,
315,USA,New York,
329,USA,New York,
332,USA,New York,
347,USA,New York,
363,USA,New York,
516,USA,New York,
518,USA,New York,
585,USA,New York,
607,USA,New York,
624,USA,New York,
631,USA,New York,
646,USA,New York,
680,USA,New York,
716,USA,New York,
718,USA,New York,
838,USA,New York,
845,USA,New York,
914,USA,New York,
917,USA,New York,
929,USA,New York,
934,USA,New York,
252,USA,North Carolina,
336,USA,North Carolina,
472,USA,North Carolina,
704,USA,North Carolina,
743,USA,North Carolina,
828,USA,North Carolina,
910,USA,North Carolina,
919,USA,North Carolina,
980,USA,North Carolina,
984,USA,North Carolina,
701,USA,North Dakota,
216,USA,Ohio,
220,USA,Ohio,
234,USA,Ohio,
283,USA,Ohio,
326,USA,Ohio,
330,USA,Ohio,
380,USA,Ohio,
419,USA,Ohio,
436,USA,Ohio,
440,USA,Ohio,
513,USA,Ohio,
567,USA,Ohio,
614,USA,Ohio,
740,USA,Ohio,
937,USA,Ohio,
405,USA,Oklahoma,
539,USA,Oklahoma,
572,USA,Oklahoma,
580,USA,Oklahoma,
918,USA,Oklahoma,
458,USA,Oregon,
503,USA,Oregon,
541,USA,Oregon,
971,USA,Oregon,
215,USA,Pennsylvania,
223,USA,Pennsylvania,
267,USA,Pennsylvania,
272,USA,Pennsylvania,
412,USA,Pennsylvania,
445,USA,Pennsylvania,
484,USA,Pennsylvania,
570,USA,Pennsylvania,
582,USA,Pennsylvania,
610,USA,Pennsylvania,
717,USA,Pennsylvania,
724,USA,Pennsylvania,
814,USA,Pennsylvania,
835,USA,Pennsylvania,
878,USA,Pennsylvania,
401,USA,Rhode Island,
803,USA,South Carolina,
839,USA,South Carolina,
843,USA,South Carolina,
854,USA,South Carolina,
864,USA,South Carolina,
605,USA,South Dakota,
423,USA,Tennessee,
615,USA,Tennessee,
629,USA,Tennessee,
731,USA,Tennessee,
865,USA,Tennessee,
901,USA,Tennessee,
931,USA,Tennessee,
210,USA,Texas,
214,USA,Texas,
254,USA,Texas,
281,USA,Texas,
325,USA,Texas,
346,USA,Texas,
361,USA,Texas,
409,USA,Texas,
430,USA,Texas,
432,USA,Texas,
469,USA,Texas,
512,USA,Texas,
682,USA,Texas,
713,USA,Texas,
726,USA,Texas,
737,USA,Texas,
806,USA,Texas,
817,USA,Texas,
830,USA,Texas,
832,USA,Texas,
903,USA,Texas,
915,USA,Texas,
936,USA,Texas,
940,USA,Texas,
945,USA,Texas,
956,USA,Texas,
972,USA,Texas,
979,USA,Texas,
385,USA,Utah,
435,USA,Utah,
801,USA,Utah,
802,USA,Vermont,
276,USA,Virginia,
434,USA,Virginia,
540,USA,Virginia,
571,USA,Virginia,
686,USA,Virginia,
703,USA,Virginia,
757,USA,Virginia,
804,USA,Virginia,
826,USA,Virginia,
948,USA,Virginia,
206,USA,Washington,
253,USA,Washington,
360,USA,Washington,
425,USA,Washington,
509,USA,Washington,
564,USA,Washington,
202,USA,"Washington, DC",
771,USA,"Washington, DC",
304,USA,West Virginia,
681,USA,West Virginia,
262,USA,Wisconsin,
274,USA,Wisconsin,
353,USA,Wisconsin,
414,USA,Wisconsin,
534,USA,Wisconsin,
608,USA,Wisconsin,
715,USA,Wisconsin,
920,USA,Wisconsin,
307,USA,Wyoming,
